2026-04-06 11:34:19 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\.venv\Lib\site-packages\keras\src\backend.py:1398: The name tf.executing_eagerly_outside_functions is deprecated. Please use tf.compat.v1.executing_eagerly_outside_functions instead.

2026-04-06 11:34:20 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\.venv\Lib\site-packages\keras\src\layers\normalization\layer_normalization.py:328: The name tf.nn.fused_batch_norm is deprecated. Please use tf.compat.v1.nn.fused_batch_norm instead.

2026-04-06 11:46:10 | DEBUG    | tensorflow           | <module>                            | Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
2026-04-06 11:46:10 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 7 to 5
2026-04-06 11:46:10 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 5 to 7
2026-04-06 11:46:10 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 7 to 5
2026-04-06 11:46:10 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 5 to 7
2026-04-06 11:46:12 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\.venv\Lib\site-packages\keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

2026-04-06 11:46:13 | INFO     | ggth                 | log_startup_banner                  | ======================================================================
2026-04-06 11:46:13 | INFO     | ggth                 | log_startup_banner                  |   GGTH Predictor v8  —  session start
2026-04-06 11:46:13 | INFO     | ggth                 | log_startup_banner                  |   Log file: C:\Users\jason\Desktop\GGTH 4-2-26\ggth_predictor.log
2026-04-06 11:46:13 | INFO     | ggth                 | log_startup_banner                  | ======================================================================
2026-04-06 11:46:13 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\.venv\Lib\site-packages\keras\src\backend.py:1398: The name tf.executing_eagerly_outside_functions is deprecated. Please use tf.compat.v1.executing_eagerly_outside_functions instead.

2026-04-06 11:46:13 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\.venv\Lib\site-packages\keras\src\layers\normalization\layer_normalization.py:328: The name tf.nn.fused_batch_norm is deprecated. Please use tf.compat.v1.nn.fused_batch_norm instead.

2026-04-06 11:46:31 | DEBUG    | tensorflow           | <module>                            | Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
2026-04-06 11:46:32 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 7 to 5
2026-04-06 11:46:32 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 5 to 7
2026-04-06 11:46:32 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 7 to 5
2026-04-06 11:46:32 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 5 to 7
2026-04-06 11:46:34 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\.venv\Lib\site-packages\keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

2026-04-06 11:46:34 | INFO     | ggth                 | log_startup_banner                  | ======================================================================
2026-04-06 11:46:34 | INFO     | ggth                 | log_startup_banner                  |   GGTH Predictor v8  —  session start
2026-04-06 11:46:34 | INFO     | ggth                 | log_startup_banner                  |   Log file: C:\Users\jason\Desktop\GGTH 4-2-26\ggth_predictor.log
2026-04-06 11:46:34 | INFO     | ggth                 | log_startup_banner                  | ======================================================================
2026-04-06 11:46:34 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\.venv\Lib\site-packages\keras\src\backend.py:1398: The name tf.executing_eagerly_outside_functions is deprecated. Please use tf.compat.v1.executing_eagerly_outside_functions instead.

2026-04-06 11:46:35 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\.venv\Lib\site-packages\keras\src\layers\normalization\layer_normalization.py:328: The name tf.nn.fused_batch_norm is deprecated. Please use tf.compat.v1.nn.fused_batch_norm instead.

